,coef,se,z,p,ci_low_95,ci_high_95,significant,stars
Sentiment.vader_compound,0.12370499071072466,0.10180850013762636,1.2150752691916518,0.22433738494638789,-0.07583600287906414,0.32324598430051343,False,
Sentiment.language_intensity,0.04366279892247746,0.18731709403728605,0.23309564536478578,0.8156871362780465,-0.3234719590793057,0.4107975569242607,False,
Sentiment.fear_threat,0.20719173568547666,0.10245524142799697,2.022265847971145,0.043148894823616946,0.006383152459246505,0.40800031891170685,True,*
Sentiment.joy_gain,0.018451701888530576,0.10104408856369686,0.18261040453543076,0.8551037199844149,-0.17959107254699083,0.21649447632405197,False,
Sentiment.anger,-0.05018185453045351,0.10188259537579307,-0.4925458989865558,0.6223334829037321,-0.24986807211847498,0.14950436305756795,False,
Sentiment.sadness,-0.052918612301506573,0.08818611137955522,-0.6000787592701934,0.5484537476873133,-0.22576021454207262,0.11992298993905948,False,
Sentiment.valence,0.18159395935782585,0.13832269972936156,1.312828333405346,0.18924080034751878,-0.08951355035607111,0.4527014690717228,False,
Sentiment.arousal,0.04424263734269273,0.10283034807874399,0.43024883382494455,0.6670146423835297,-0.15730114140936302,0.2457864160947485,False,
Sentiment.dominance,0.23705037949531665,0.13052043564430413,1.8161935970036847,0.06934067995518967,-0.01876497361399737,0.4928657326046307,False,
Politeness.professional_courtesy,-0.1739708330705469,0.0929595085667307,-1.8714689411859622,0.061280110941627886,-0.3561681218818817,0.008226455740787897,False,
Politeness.rapport_building,-0.30367890407609993,0.10950888704604142,-2.7730982595816407,0.005552535217197008,-0.518312378673406,-0.08904542947879387,True,**
Politeness.non_imposition,-0.049638767233732034,0.18432554945628962,-0.26929943993197325,0.7876992631357149,-0.41091020559861624,0.3116326711311521,False,
Politeness.domineering,-0.031566721429209764,0.09721809115122972,-0.32470007439361737,0.7454080783487991,-0.22211067873135212,0.15897723587293258,False,
Reciprocity.direct_promise,0.0,1.821023922160396e-15,0.0,1.0,-3.569141302420247e-15,3.569141302420247e-15,False,
Reciprocity.mutual_benefit,0.08891327466112534,0.1097577581164959,0.8100864684822879,0.4178904807788304,-0.12620797827106542,0.30403452759331606,False,
Reciprocity.concession_framing,-0.0975429263667801,0.08014010109198716,-1.2171550202415824,0.22354524015773247,-0.254614638224474,0.059528785490913796,False,
Impact.gain_framing,0.1627726722743511,0.0924910454232447,1.759874931994696,0.0784290145297799,-0.01850644564766671,0.3440517901963689,False,
Impact.loss_framing,-0.005311782711443351,0.09031340532159572,-0.0588149975358442,0.9530994628338003,-0.18232280446293903,0.1716992390400523,False,
Impact.threat_severity,-0.008762385080798931,0.1006188479509608,-0.08708492751844572,0.9306040059642742,-0.2059717032305939,0.18844693306899604,False,
Impact.future_projection,-0.09319857108425582,0.0875109698477535,-1.0649930088353183,0.28687909346870333,-0.2647169202380233,0.07831977806951167,False,
Commitment.statements,-0.1866174778723929,0.27428931466499823,-0.6803672906482601,0.4962719267235576,-0.7242146559599635,0.35097970021517766,False,
Commitment.power,0.2676001934155321,0.27901458458604994,0.9590903422218864,0.33751323529386745,-0.2792583435345303,0.8144587303655945,False,
Scarcity/Urgency.temporal_urgency,-0.02633735155085825,0.13682098402230933,-0.192494972456592,0.8473545056721268,-0.2945015525639147,0.24182684946219818,False,
Scarcity/Urgency.exclusivity_quantity,-0.02046547418675165,0.09678587544303574,-0.21145104172557494,0.8325353314692876,-0.21016230426728136,0.16923135589377805,False,
Engagement.identification,-0.5112253616960962,0.12411033964715583,-4.119119834411086,3.803223320275606e-05,-0.7544771575135552,-0.26797356587863724,True,***
Engagement.self_reference,-0.59701991502821,0.5603585319895363,-1.0654248680902716,0.28668370820053735,-1.695302456157437,0.501262626101017,False,
Engagement.inquiry,-0.06422586975376184,0.1047116790632203,-0.6133591814050187,0.5396388696488426,-0.2694569894783905,0.14100524997086678,False,
Engagement.past,0.06795229421027026,0.08882383379269383,0.7650232072718712,0.44425772550737963,-0.10613922099218144,0.24204380941272197,False,
Engagement.imagery,0.06643400549421886,0.08876009855647926,0.7484670091025868,0.45417851724852,-0.10753259094070612,0.24040060192914386,False,
Engagement.characters,0.17258011314498853,0.13151639882373206,1.3122326545474612,0.1894416471020537,-0.08518729192593225,0.43034751821590933,False,
Propaganda.emotional_charge,-0.05218542348837017,0.09391227262926855,-0.5556826815849641,0.5784277977580485,-0.23625009554804322,0.13187924857130284,False,
Propaganda.logical_distortion,-0.06323729725218075,0.08861607220017051,-0.7136097965314588,0.4754684981011845,-0.23692160721591604,0.11044701271155455,False,
Propaganda.heuristic_identity_appeals,-0.03751943522892737,0.0907544407408143,-0.4134170727367398,0.6793010682603386,-0.215394870517998,0.14035600006014326,False,
Style.fluency,0.2779673848122402,0.1130375536728813,2.4590711297295793,0.013929701626847368,0.05641785071287955,0.4995169189116009,True,*
Style.length,1.448405907919599,0.16226434078672033,8.926212012430867,0.0,1.1303736440024934,1.7664381718367046,True,***
Style.rhetorical_punctuation,-0.3614088437898164,0.10951215623427432,-3.300171014957199,0.000966259280881232,-0.5760487258783176,-0.1467689617013152,True,***
